"year","state","county","industry_sector","chemical","total_releases","fugitive_air","stack_air","water","onsite_total","air_releases"
2024,"TX","SMITH","Petroleum","n-Hexane",4376.28,2954,1356,0,4376.28,4310
2024,"IA","HAMILTON","Chemicals","Metribuzin",468.064,285.8,0.06,0.204,286.064,285.86
2024,"KS","JOHNSON","Computers and Electronic Products","Lead",0,0,0,0,0,0
2024,"OK","CARTER","Petroleum","Toluene",9256.743,6162,3056,5,9223,9218
2024,"OH","GREENE","Transportation Equipment","Nickel",10,3,2,0,5,5
2024,"MN","HENNEPIN","Fabricated Metals","Lead",0.395,0.035,0,0,0.035,0.035
2024,"MA","HAMPDEN","Chemical Wholesalers","Nonylphenol Ethoxylates",52.2,3.9,48.3,0,52.2,52.2
2024,"IN","ST JOSEPH","Fabricated Metals","Nitric acid",7.1,1.7,5.4,0,7.1,7.1
2024,"IL","WINNEBAGO","Chemical Wholesalers","Ethylene glycol",3.371,1.751,1.62,0,3.371,3.371
2024,"NY","ERIE","Food","Nitric acid",17,17,0,0,17,17
2024,"TX","BURNET","Primary Metals","Nickel",0,0,0,0,0,0
2024,"OH","ROSS","Paper","Methanol",310000,240000,70000,0,310000,310000
2024,"OR","JOSEPHINE","Furniture","n-Butyl alcohol",21561,0,21561,0,21561,21561
2024,"MT","STILLWATER","Metal Mining","Chromium compounds (except for chromite ore mined in the Transvaal Region)",204340,7,0,0,7,7
2024,"MI","CALHOUN","Fabricated Metals","Chromium",0,0,0,0,0,0
2024,"IL","LAKE","Chemicals","Naphthalene",250,250,0,0,250,250
2024,"NY","SARATOGA","Computers and Electronic Products","Nitrate compounds (water dissociable; reportable only when in aqueous solution)",17860.1,0,0,0,0,0
2024,"CO","DENVER","Nonmetallic Mineral Product","Hydrogen fluoride",5462,0,5462,0,5462,5462
2024,"NY","NIAGARA","Chemicals","Hydroquinone",12261,0,10,0,10,10
2024,"OK","TULSA","Transportation Equipment","Xylene (mixed isomers)",7100,0,7100,0,7100,7100
2024,"IN","MARION","Machinery","Copper",0.276,0.24,0,0,0.24,0.24
2024,"NM","SANDOVAL","Computers and Electronic Products","N-Methyl-2-pyrrolidone",5323,5,18,0,23,23
2024,"NC","WAKE","Chemicals","Methanol",4477.23,336.9,4140.33,0,4477.23,4477.23
2024,"IN","WELLS","Electrical Equipment","Chromium",6.759,0,0,0,0,0
2024,"WI","WOOD","Primary Metals","Lead",8.95,0,0,0,0,0
2024,"KY","ANDERSON","Fabricated Metals","Chromium compounds (except for chromite ore mined in the Transvaal Region)",6.29,0,0,0,0,0
2024,"AL","SHELBY","Chemical Wholesalers","Methanol",3669.59,3419.59,250,0,3669.59,3669.59
2024,"AL","AUTAUGA","Paper","Zinc compounds",12037,0,376,1701,12037,376
2024,"LA","ASCENSION PARISH","Chemicals","Naphthalene",184,168,3,0,171,171
2024,"VA","BOTETOURT","Machinery","Copper",24.474,0.23,0.014,0,0.244,0.244
2024,"WI","COLUMBIA","Chemicals","Methanol",2298.66,4.97,2293.69,0,2298.66,2298.66
2024,"TX","HARRIS","Hazardous Waste","Dioxin and dioxin-like compounds",0.001,0,0.001,0,0.001,0.001
2024,"TX","ECTOR","Chemicals","Certain glycol ethers",12677.58,250,0,0,250,250
2024,"MN","OLMSTED","Fabricated Metals","Copper",5.086,0,0,0,0,0
2024,"TX","BEXAR","Nonmetallic Mineral Product","Lead compounds",0.919,0.002,0.017,0.18,0.919,0.019
2024,"IN","GRANT","Fabricated Metals","Copper",0,0,0,0,0,0
2024,"IL","MACON","Primary Metals","Cobalt",22,0,0,0,0,0
2024,"NC","MECKLENBURG","Fabricated Metals","Manganese",0,0,0,0,0,0
2024,"IN","LAKE","Nonmetallic Mineral Product","Manganese compounds",0,0,0,0,0,0
2024,"NC","GASTON","Fabricated Metals","Perfluorobutane sulfonic acid",0,0,0,0,0,0
2024,"LA","IBERVILLE PARISH","Chemicals","Cumene",79,77,2,0,79,79
2024,"HI","HONOLULU","Electric Utilities","Ammonia",160000,0,160000,0,160000,160000
2024,"OH","BUTLER","Chemicals","n-Hexane",7091,142,6949,0,7091,7091
2024,"NM","BERNALILLO","Petroleum","Polycyclic aromatic compounds",0.01,0.005,0.005,0,0.01,0.01
2024,"IL","ST. CLAIR","Hazardous Waste","Pendimethalin",0.07,0.01,0.01,0,0.02,0.02
2024,"IL","WILL","Nonmetallic Mineral Product","Lead",0.059,0,0.059,0,0.059,0.059
2024,"GA","DEKALB","Chemicals","3-Iodo-2-propynyl butylcarbamate",0,0,0,0,0,0
2024,"WI","OUTAGAMIE","Paper","Dioxin and dioxin-like compounds",0.175,0,0.175,0,0.175,0.175
2024,"NE","JEFFERSON","Chemicals","Lead",0.06,0.03,0,0,0.06,0.03
2024,"AL","ST. CLAIR","Machinery","Manganese",62,18,0,0,18,18
2024,"TX","GREGG","Natural Gas Processing","Toluene",559,6,553,0,559,559
2024,"OR","MARION","Food","Phosphorus (yellow or white)",0,0,0,0,0,0
2024,"KY","MCCRACKEN","Petroleum Bulk Terminals","Xylene (mixed isomers)",218,75,140,1,216,215
2024,"TX","HARRIS","Machinery","Nickel",225,27,1,197,225,28
2024,"OH","CLARK","Transportation Equipment","Xylene (mixed isomers)",0,0,0,0,0,0
2024,"MO","JACKSON","Nonmetallic Mineral Product","Lead",0.046,0.046,0.001,0,0.046,0.047
2024,"PA","LANCASTER","Primary Metals","Lead compounds",35.79,9.91,9.91,0,19.82,19.82
2024,"AZ","GILA","Metal Mining","Nickel",111923,0,0,0,111923,0
2024,"NV","NYE","Metal Mining","Nitrate compounds (water dissociable; reportable only when in aqueous solution)",1102200,0,0,0,1102200,0
2024,"AL","MOBILE","Chemicals","Chloroethane",2252.9,1.7,2251.2,0,2252.9,2252.9
2024,"TN","KNOX","Chemical Wholesalers","Ethylene glycol",823,5,0,0,5,5
2024,"VA","PETERSBURG (CITY)","Textiles","Lead",292.973,0.073,0,0,0.073,0.073
2024,"NC","BUNCOMBE","Nonmetallic Mineral Product","Lead  And Lead Compounds",0.006,0,0.006,0,0.006,0.006
2024,"MI","CALHOUN","Primary Metals","Diisocyanates",0,0,0,0,0,0
2024,"MO","CLAY","Chemicals","Methyl isobutyl ketone",3433,203,3230,0,3433,3433
2024,"CA","STANISLAUS","Food","Peracetic acid",0,0,0,0,0,0
