"effect_size","sample_size","noise","mean_diff"
0,50,"0.5",0.217658608746683
0,50,"1",-0.397972300654089
0,50,"2",0.305410317471023
0,100,"0.5",0.0156207100908528
0,100,"1",0.0680550831297455
0,100,"2",0.147751598747083
0,150,"0.5",0.0110811573054068
0,150,"1",0.1233895192932
0,150,"2",0.0427639811110727
0,200,"0.5",-0.057440252463232
0,200,"1",0.122661020455218
0,200,"2",0.0491827479902143
0,250,"0.5",0.0760278841363147
0,250,"1",0.00038034835487788
0,250,"2",0.32899381588221
0,300,"0.5",0.0645412832039842
0,300,"1",-0.0701025605856578
0,300,"2",0.00124222708034449
0,350,"0.5",-0.0280102724146525
0,350,"1",-0.0644971661999305
0,350,"2",-0.254842865660657
0,400,"0.5",-0.0440372574047734
0,400,"1",-0.0376000389376627
0,400,"2",0.222783182118688
0,450,"0.5",-0.014506223929609
0,450,"1",-0.0519886428392589
0,450,"2",-0.118324969261973
0,500,"0.5",-0.0196074787419893
0,500,"1",-0.112742539752477
0,500,"2",0.0516957697779088
0.222222222222222,50,"0.5",0.27914894266461
0.222222222222222,50,"1",0.375262680927483
0.222222222222222,50,"2",-0.217366479553407
0.222222222222222,100,"0.5",0.235328572649977
0.222222222222222,100,"1",0.099168315253864
0.222222222222222,100,"2",0.518458511280947
0.222222222222222,150,"0.5",0.209978834493968
0.222222222222222,150,"1",0.259255893672432
0.222222222222222,150,"2",0.432044428427652
0.222222222222222,200,"0.5",0.211492370152442
0.222222222222222,200,"1",0.333958737020594
0.222222222222222,200,"2",0.205340015198935
0.222222222222222,250,"0.5",0.255051065222759
0.222222222222222,250,"1",0.224046564275697
0.222222222222222,250,"2",0.198612726850695
0.222222222222222,300,"0.5",0.2244227805968
0.222222222222222,300,"1",0.241592720708731
0.222222222222222,300,"2",0.195126695994151
0.222222222222222,350,"0.5",0.189620225607573
0.222222222222222,350,"1",0.116728902222137
0.222222222222222,350,"2",0.41332684020621
0.222222222222222,400,"0.5",0.183057793247045
0.222222222222222,400,"1",0.243756336019746
0.222222222222222,400,"2",0.110244957993463
0.222222222222222,450,"0.5",0.190640948872619
0.222222222222222,450,"1",0.243758011415369
0.222222222222222,450,"2",0.136005722440087
0.222222222222222,500,"0.5",0.236760868903214
0.222222222222222,500,"1",0.267448960413208
0.222222222222222,500,"2",0.180732233318004
0.444444444444444,50,"0.5",0.4192889801201
0.444444444444444,50,"1",0.664749813183751
0.444444444444444,50,"2",0.286071949345626
0.444444444444444,100,"0.5",0.350091963679292
